Time,Region,PC,PCC,ECPC,AP,Temperature
2021,THA,367.19736,283.8001,283.8001,354.72458,1.5 deg at 50% with small overshoot
2021,TJK,49.4826,10.959351,10.959351,12.666275,1.5 deg at 50% with small overshoot
2021,TKM,32.378788,72.24768,72.24768,89.62265,1.5 deg at 50% with small overshoot
2021,TLS,6.7288103,2.8984072,2.8984072,3.2983963,1.5 deg at 50% with small overshoot
2021,TON,0.54165554,0.200323,0.200323,0.23477378,1.5 deg at 50% with small overshoot
2021,TTO,7.787131,35.26996,35.26996,44.922092,1.5 deg at 50% with small overshoot
2021,TUN,62.68861,35.026115,35.026115,42.38757,1.5 deg at 50% with small overshoot
2021,TUR,433.67468,430.74307,430.74307,559.5314,1.5 deg at 50% with small overshoot
2021,TUV,,,0.01147,,1.5 deg at 50% with small overshoot
2021,TZA,321.75873,136.16107,136.16107,154.5776,1.5 deg at 50% with small overshoot
2021,UGA,231.57399,18.531385,18.531385,21.014927,1.5 deg at 50% with small overshoot
2021,UKR,218.46414,210.25746,210.25746,256.48184,1.5 deg at 50% with small overshoot
2021,URY,17.583916,7.369417,7.369417,9.377185,1.5 deg at 50% with small overshoot
2021,USA,1728.7885,5025.3027,5025.3027,6925.5,1.5 deg at 50% with small overshoot
2021,UZB,173.57126,115.788345,115.788345,137.98906,1.5 deg at 50% with small overshoot
2021,Umbrella,3114.2925,7675.8887,7675.8887,10402.578,1.5 deg at 50% with small overshoot
2021,VAT,,,,,1.5 deg at 50% with small overshoot
2021,VCT,0.5348146,0.21605282,0.21605282,0.26636437,1.5 deg at 50% with small overshoot
2021,VEN,148.17673,86.51378,86.51378,,1.5 deg at 50% with small overshoot
2021,VNM,497.63913,492.65976,492.65976,598.4516,1.5 deg at 50% with small overshoot
2021,VUT,1.6177447,-0.14332043,-0.14332043,-0.16212074,1.5 deg at 50% with small overshoot
2021,WSM,1.1078931,0.14197531,0.14197531,0.16587411,1.5 deg at 50% with small overshoot
2021,YEM,167.82921,11.059311,11.059311,12.346425,1.5 deg at 50% with small overshoot
2021,ZAF,302.61154,428.43213,428.43213,524.7038,1.5 deg at 50% with small overshoot
2021,ZMB,98.51003,57.88934,57.88934,66.21532,1.5 deg at 50% with small overshoot
2021,ZWE,81.11515,16.049887,16.049887,17.999697,1.5 deg at 50% with small overshoot
2025,AFG,155.996,30.488716,55.100048,,1.5 deg at 50% with small overshoot
2025,AGO,134.26044,96.828766,118.3304,138.39357,1.5 deg at 50% with small overshoot
2025,ALB,11.281976,4.6872272,4.179582,4.3691797,1.5 deg at 50% with small overshoot
2025,AND,,,0.20230316,,1.5 deg at 50% with small overshoot
2025,ARE,36.956894,162.14207,164.1375,251.459,1.5 deg at 50% with small overshoot
2025,ARG,178.2818,160.84125,144.98808,217.02669,1.5 deg at 50% with small overshoot
2025,ARM,11.069117,6.752786,6.3883486,8.337693,1.5 deg at 50% with small overshoot
2025,ATG,0.36730102,0.4426867,0.43745157,,1.5 deg at 50% with small overshoot
2025,AUS,101.703964,268.5837,245.6305,391.5158,1.5 deg at 50% with small overshoot
2025,AUT,35.271774,44.856327,41.83063,56.869396,1.5 deg at 50% with small overshoot
2025,AZE,40.751965,33.76671,32.551296,44.780693,1.5 deg at 50% with small overshoot
2025,African Group,5433.7705,2564.7756,3207.2734,,1.5 deg at 50% with small overshoot
2025,Australasia,121.67942,283.76346,260.82727,410.55682,1.5 deg at 50% with small overshoot
2025,BDI,48.89186,8.087961,14.450887,2.6089802,1.5 deg at 50% with small overshoot
